trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:32:00,01:32:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:33:00,01:33:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:34:30,01:34:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:36:00,01:36:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:37:30,01:37:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:39:30,01:39:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:41:00,01:41:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:43:00,01:43:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:44:30,01:44:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:46:00,01:46:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:48:30,01:48:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:49:30,01:49:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:50:30,01:50:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:52:30,01:52:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:54:30,01:54:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:55:30,01:55:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:57:00,01:57:00,123S,21,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:58:30,01:58:30,124S,22,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:00:00,02:00:00,125S,23,,0,0,
